IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,Quota,Provincia,Comune,lat,lng
12637,Nikel,ng/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
20442,Monossido di Azoto,µg/m³,681,1194.0,LC,Moggio,45.91278752030292,9.497538167653424
9798,Monossido di Carbonio,mg/m³,670,22.0,MN,Mantova,45.16056833010576,10.79556411370788
6871,Biossido di Azoto,µg/m³,663,18.0,MN,Mantova,45.14526012578896,10.80332595007927
20494,Monossido di Azoto,µg/m³,1801,151.0,BS,Brescia,45.542647891822845,10.21120521511826
6818,Ozono,µg/m³,656,47.0,BS,Gambara,45.24954362474624,10.299119496064078
5950,Biossido di Azoto,µg/m³,626,57.0,CR,Corte de' Cortesi con Cignone,45.27848755478839,10.006202391204337
20042,Ammoniaca,µg/m³,703,0.0,MN,Schivenoglia,45.01687782075543,11.07609463264049
6880,Biossido di Azoto,µg/m³,665,37.0,MN,Viadana,44.92469404955067,10.517502067117825
10329,Ossidi di Azoto,µg/m³,708,112.0,PV,Parona,45.28193561035791,8.754334594539825
9996,Ossidi di Azoto,µg/m³,682,88.0,PV,Ferrera Erbognone,45.11350314482957,8.874064848882607
12615,Cadmio,ng/m³,670,22.0,MN,Mantova,45.16056833010576,10.79556411370788
10352,PM10 (SM2005),µg/m³,517,141.0,MI,Turbigo,45.52655086994247,8.736496578379215
6761,Biossido di Azoto,µg/m³,649,149.0,BS,Brescia,45.540057846971386,10.222818449274216
5750,Ozono,µg/m³,552,425.0,VA,Varese,45.83690077655548,8.80392612667495
12626,Cadmio,ng/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
5798,Monossido di Carbonio,mg/m³,561,202.0,CO,Como,45.81504286011291,9.06697137484454
10505,Ossidi di Azoto,µg/m³,1269,207.0,BG,Dalmine,45.64970251236247,9.601223338785262
5572,Biossido di Azoto,µg/m³,569,307.0,SO,Sondrio,46.16796681227828,9.87014407497457
5960,Ozono,µg/m³,629,79.0,CR,Crema,45.366309078194334,9.703945513613167
10173,PM10 (SM2005),µg/m³,703,0.0,MN,Schivenoglia,45.01687782075543,11.07609463264049
5548,Biossido di Azoto,µg/m³,545,100.0,MI,Motta Visconti,45.281956197427846,8.988562726793255
9978,Particelle sospese PM2.5,µg/m³,609,108.0,BG,Casirate d'Adda,45.49822713394494,9.55623226235176
6935,PM10 (SM2005),µg/m³,592,191.0,BG,Treviglio,45.51933498138716,9.592009994888423
6947,PM10 (SM2005),µg/m³,643,77.0,PV,Pavia,45.18632908049483,9.146666041286784
12022,Particelle sospese PM2.5,µg/m³,1297,48.0,CR,Spinadesco,45.150468869856816,9.930596472272326
12589,Arsenico,ng/m³,669,70.0,BS,Brescia,45.51303881865376,10.19194188877931
6262,Ossidi di Azoto,µg/m³,603,74.0,LO,Castiraga Vidardo,45.26232519992153,9.400281323067924
6212,Ossidi di Azoto,µg/m³,596,182.0,BG,Osio Sotto,45.62055567939559,9.611737821812373
12584,PM10 (SM2005),µg/m³,627,39.0,CR,Cremona,45.13194691285173,10.015741513336042
20488,Particelle sospese PM2.5,µg/m³,564,279.0,CO,Erba,45.808573806922965,9.221779204488437
6232,Ossidi di Azoto,µg/m³,561,202.0,CO,Como,45.81504286011291,9.06697137484454
10339,PM10 (SM2005),µg/m³,629,79.0,CR,Crema,45.366309078194334,9.703945513613167
5823,Monossido di Carbonio,mg/m³,539,115.0,MI,Milano,45.443857653564926,9.167944501742676
10450,Particelle sospese PM2.5,µg/m³,655,221.0,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
6268,Ossidi di Azoto,µg/m³,600,80.0,LO,Lodi,45.30601298752377,9.48526286320174
5561,Biossido di Azoto,µg/m³,558,206.0,VA,Busto Arsizio,45.582894292717725,8.842165456706075
5790,Monossido di Carbonio,mg/m³,592,191.0,BG,Treviglio,45.51933498138716,9.592009994888423
6929,PM10 (SM2005),µg/m³,576,279.0,LC,Merate,45.69795198970243,9.406190938686596
5504,Biossido di Azoto,µg/m³,501,129.0,MI,Milano,45.49631644365102,9.190933555313624
10097,Biossido di Azoto,µg/m³,697,14.0,MN,Borgofranco sul Po,45.04650153816735,11.18093581912755
12607,Nikel,ng/m³,546,137.0,MI,Magenta,45.462415791106615,8.880210433125571
6925,PM10 (SM2005),µg/m³,571,1225.0,SO,Bormio,46.46952397132585,10.375432759159036
12685,Arsenico,ng/m³,633,70.0,CR,Soresina,45.28397715446764,9.863398419993636
12604,Piombo,ng/m³,655,221.0,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
20443,Biossido di Azoto,µg/m³,681,1194.0,LC,Moggio,45.91278752030292,9.497538167653424
12664,Piombo,ng/m³,681,1194.0,LC,Moggio,45.91278752030292,9.497538167653424
5579,Biossido di Azoto,µg/m³,576,279.0,LC,Merate,45.69795198970243,9.406190938686596
10333,Ossidi di Azoto,µg/m³,709,109.0,PV,Vigevano,45.303607869655714,8.844804609965438
5845,Monossido di Carbonio,mg/m³,569,307.0,SO,Sondrio,46.16796681227828,9.87014407497457
9998,Benzene,µg/m³,683,133.0,MI,Cassano d'Adda,45.52647254585104,9.515980483627096
10587,Ammoniaca,µg/m³,1266,65.0,LO,Bertonico,45.23349364130374,9.666250375296032
20154,Ozono,µg/m³,690,73.0,PV,Mezzana Bigli,45.06965864138592,8.86888929943922
6701,Biossido di Azoto,µg/m³,643,77.0,PV,Pavia,45.18632908049483,9.146666041286784
12667,Nikel,ng/m³,703,0.0,MN,Schivenoglia,45.01687782075543,11.07609463264049
9852,Biossido di Azoto,µg/m³,672,74.0,PV,Cornale,45.04007657202963,8.914144599002409
20157,Particelle sospese PM2.5,µg/m³,642,77.0,PV,Pavia,45.19467609907785,9.164638300630086
10547,Particelle sospese PM2.5,µg/m³,1269,207.0,BG,Dalmine,45.64970251236247,9.601223338785262
10290,PM10 (SM2005),µg/m³,706,272.0,LC,Lecco,45.86374884127965,9.399950344681852
10331,Biossido di Azoto,µg/m³,709,109.0,PV,Vigevano,45.303607869655714,8.844804609965438
10458,Biossido di Azoto,µg/m³,1266,65.0,LO,Bertonico,45.23349364130374,9.666250375296032
6766,Ossidi di Azoto,µg/m³,649,149.0,BS,Brescia,45.540057846971386,10.222818449274216
10171,Ozono,µg/m³,703,0.0,MN,Schivenoglia,45.01687782075543,11.07609463264049
